model,rated_capacity,length_of_would_depth,maximum_operation_pressure,overall_height,outside_diameter,f2f_dimension,pipe_size,shiping_weight
BR4-3/8 SD,7.6,101.6,6.9,178,92,108,           3//8,1.6
BR4-3/8 SBD**,7.6,101.6,6.9,178,92,108,           3//8,1.6
